date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:28	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2027%20Mar%202020%2010:55:35%20GMT	http://ibots.glitch.me/robots.txt		(from )
13:55:28	1404/1404	---M--	200	added ('OK')	text/html	etag:W/%2257c-16ed15e6de8%22	http://ibots.glitch.me/	C:/My%20Web%20Sites/ibot/ibots.glitch.me/index.html	(from )
13:55:28	1934/1934	---M--	200	added ('OK')	text/css	etag:W/%2278e-16a828c9b30%22	http://ibots.glitch.me/css/main.css	C:/My%20Web%20Sites/ibot/ibots.glitch.me/css/main.css	(from http://ibots.glitch.me/)
13:55:29	9010/9010	---M--	200	added ('OK')	text/html	etag:W/%222332-16ed15abc98%22	http://ibots.glitch.me/commands.html	C:/My%20Web%20Sites/ibot/ibots.glitch.me/commands.html	(from http://ibots.glitch.me/)
13:55:29	580804/580804	---M--	200	added ('OK')	image/gif	etag:%228dcc4-56e1e4f9d351b%22	https://mrsheldon.me/files/785375.gif	C:/My%20Web%20Sites/ibot/mrsheldon.me/files/785375.gif	(from http://ibots.glitch.me/)
13:55:32	141159/141159	---M--	200	added ('OK')	text/css	etag:W/%2222767-16a828c9b30%22	http://ibots.glitch.me/css/bootstrap.css	C:/My%20Web%20Sites/ibot/ibots.glitch.me/css/bootstrap.css	(from http://ibots.glitch.me/commands.html)
13:55:33	1404/1404	---M--	200	added ('OK')	text/html	etag:W/%2257c-16ed15e6de8%22	http://ibots.glitch.me/index.html	C:/My%20Web%20Sites/ibot/ibots.glitch.me/index-2.html	(from http://ibots.glitch.me/commands.html)
13:55:33	57718/57718	---M--	200	added ('OK')	image/png	etag:%22e176-56e1f83600e62%22	https://mrsheldon.me/files/965300.png	C:/My%20Web%20Sites/ibot/mrsheldon.me/files/965300.png	(from http://ibots.glitch.me/commands.html)
